"","index","schedule_date","schedule_season","schedule_week","team_home","team_home_full","team_away_full","score_home","score_away","score_total","over_under_line","over_under_diff","over_binary","spread_favorite","home_total_dvoa","home_weighted_dvoa","home_offense_dvoa","home_defense_dvoa","home_special_dvoa","home_off_def_difference","home_sec_play_total","home_sec_play_neutral","home_sec_play_composite","away_total_dvoa","away_weighted_dvoa","away_offense_dvoa","away_defense_dvoa","away_special_dvoa","away_off_def_difference","away_sec_play_total","away_sec_play_neutral","away_sec_play_composite","dvoa_total_cumulative","dvoa_total_difference","dvoa_weighted_cumulative","dvoa_weighted_difference","dvoa_offense_cumulative","dvoa_offense_difference","dvoa_defense_cumulative","dvoa_defense_difference","dvoa_special_cumulative","dvoa_special_difference","dvoa_home_offense_matchup","dvoa_away_offense_matchup","composite_pace_average","composite_pace_difference","offense_matchup_cumulative","offense_matchup_difference"
"45",45,"1993-09-26",1993,4,"NYJ","NYJ1993","NE1993",45,7,52,36.5,15.5,1,-9.5,5.8,-2.4,5.6,-7.3,-7.2,12.8,29.67,32.76,31.215,-25.8,-14.2,-12.2,7.6,-6,-6.2,26.21,29.92,28.065,-20,31.6,-16.6,11.8,-6.6,17.8,0.3,14.9,0.399999999999999,1.2,13.2,-19.5,29.64,3.15,-6.3,32.7
"46",46,"1993-09-27",1993,4,"ATL","ATL1993","PIT1993",17,45,62,42.5,19.5,1,-3,-8.3,-2,-7.5,7.4,6.6,-14.1,29.4,35.02,32.21,12.4,6.4,-1.2,-16.9,-3.3,2.1,28.14,30.26,29.2,4.1,20.7,4.4,8.4,-8.7,6.3,-9.5,24.3,-10.3,9.9,-24.4,6.2,30.705,3.01,-18.2,30.6
"47",47,"1993-10-03",1993,5,"BUF","BUF1993","NYG1993",17,14,31,43,-12,0,-6,7.8,-2,2,-5.5,0.4,1.6,24.07,24.86,24.465,12.8,13.1,11.2,-0.6,0.9,10.3,29.7,32.21,30.955,20.6,5,11.1,15.1,13.2,9.2,-6.1,4.9,-0.2,0.5,1.4,5.7,27.71,6.49,7.1,4.3
"48",48,"1993-10-03",1993,5,"CHI","CHI1993","ATL1993",6,0,6,44,-38,0,-6,-7.2,-12.6,-14.6,-4.7,2.7,-17.3,29.05,31.74,30.395,-8.3,-2,-7.5,7.4,6.6,-14.1,29.4,35.02,32.21,-15.5,1.1,-14.6,10.6,-22.1,7.1,2.7,12.1,10.1,3.9,-7.2,-12.2,31.3025,1.815,-19.4,5
"49",49,"1993-10-03",1993,5,"DAL","DAL1993","GB1993",36,14,50,37,13,1,-11,24.7,28.6,22.3,1.3,3.8,18.5,28.89,31.01,29.95,10.8,9.7,-3.4,-9.1,5.2,-8.6,28.47,30.7,29.585,35.5,13.9,38.3,18.9,18.9,25.7,-7.8,10.4,-5.3,1.4,13.2,-2.1,29.7675,0.364999999999998,11.1,15.3
"50",50,"1993-10-03",1993,5,"DEN","DEN1993","IND1993",35,13,48,36.5,11.5,1,-8.5,13.7,14.5,15,-1.3,-2.6,17.6,27.74,30.2,28.97,-38.9,-38.5,-21,18,0.1,-21.1,26.33,30.6,28.465,-25.2,52.6,-24,53,-6,36,16.7,19.3,15.4,2.7,33,-22.3,28.7175,0.504999999999999,10.7,55.3
"51",51,"1993-10-03",1993,5,"KC","KC1993","LV1993",24,9,33,36.5,-3.5,0,-9,20,17.9,12.6,-9.4,-2.1,14.7,28.44,30.28,29.36,10.8,5.1,4.9,2.1,8,-3.1,29.04,31.99,30.515,30.8,9.2,23,12.8,17.5,7.7,-7.3,11.5,0,10.1,14.7,-4.5,29.9375,1.155,10.2,19.2
"52",52,"1993-10-03",1993,5,"LAR","LAR1993","NO1993",6,37,43,38,5,1,-4,-22.9,-29.7,2.6,19.7,-5.9,8.5,27.55,31.24,29.395,0.2,-17.1,-14.2,-7.8,6.6,-20.8,28.1,30.68,29.39,-22.7,23.1,-46.8,12.6,-11.6,16.8,11.9,27.5,-13.7,12.5,-5.2,5.5,29.3925,0.00499999999999901,0.300000000000001,10.7
"53",53,"1993-10-03",1993,5,"NYJ","NYJ1993","PHI1993",30,35,65,40.5,24.5,1,-1,5.8,-2.4,5.6,-7.3,-7.2,12.8,29.67,32.76,31.215,8.6,5.9,6.4,-8.1,-5.8,12.2,28.16,31.3,29.73,14.4,2.8,3.5,8.3,12,0.800000000000001,-15.4,0.8,-15.3,1.4,-2.5,-0.899999999999999,30.4725,1.485,-3.4,1.6
"54",54,"1993-10-03",1993,5,"SF","SF1993","MIN1993",38,19,57,39,18,1,-9.5,24.4,24.5,31.9,4.8,-2.6,34.5,28.04,30.5,29.27,8.3,13.9,0.2,-16.2,-8.1,8.3,27.91,30.96,29.435,32.7,16.1,38.4,10.6,32.1,31.7,-11.4,21,-18.8,5.5,15.7,5,29.3525,0.164999999999999,20.7,10.7
