index,schedule_date,schedule_season,schedule_week,team_home,team_home_full,team_away_full,score_home,score_away,score_total,over_under_line,over_under_diff,over_binary,spread_favorite,home_total_dvoa,home_weighted_dvoa,home_offense_dvoa,home_defense_dvoa,home_special_dvoa,home_off_def_difference,home_sec_play_total,home_sec_play_neutral,home_sec_play_composite,away_total_dvoa,away_weighted_dvoa,away_offense_dvoa,away_defense_dvoa,away_special_dvoa,away_off_def_difference,away_sec_play_total,away_sec_play_neutral,away_sec_play_composite
21,1993-09-12,1993,2,LAR,LAR1993,PIT1993,27,0,27,35.5,-8.5,0,-3,-22.9,-29.7,2.6,19.7,-5.9,8.5,27.55,31.24,29.395,12.4,6.4,-1.2,-16.9,-3.3,2.1,28.14,30.26,29.2
22,1993-09-12,1993,2,MIA,MIA1993,NYJ1993,14,24,38,39.5,-1.5,0,-9,3,1.7,11.3,8.2,-0.1,11.4,26.47,28.72,27.595,5.8,-2.4,5.6,-7.3,-7.2,12.8,29.67,32.76,31.215
23,1993-09-12,1993,2,MIN,MIN1993,CHI1993,10,7,17,36,-19,0,-7,8.3,13.9,0.2,-16.2,-8.1,8.3,27.91,30.96,29.435,-7.2,-12.6,-14.6,-4.7,2.7,-17.3,29.05,31.74,30.395
24,1993-09-12,1993,2,NE,NE1993,DET1993,16,19,35,38,-3,0,-7,-25.8,-14.2,-12.2,7.6,-6,-6.2,26.21,29.92,28.065,-2.3,-0.4,-11.7,-4.1,5.3,-17,29.3,32,30.65
25,1993-09-12,1993,2,NYG,NYG1993,TB1993,23,7,30,37.5,-7.5,0,-10,12.8,13.1,11.2,-0.6,0.9,10.3,29.7,32.21,30.955,-33.7,-19.6,-20.9,11.3,-1.5,-19.4,28.33,31.63,29.98
26,1993-09-12,1993,2,SEA,SEA1993,LV1993,13,17,30,33,-3,0,-3,-5.4,-7,-8,-5,-2.4,-5.6,26.79,30.6,28.695,10.8,5.1,4.9,2.1,8,-3.1,29.04,31.99,30.515
27,1993-09-12,1993,2,WAS,WAS1993,ARI1993,10,17,27,40.5,-13.5,0,-10,-24,-29.2,-10.2,12.3,-1.5,-8.7,26.92,29.88,28.4,-1.7,6.2,4.2,8.3,2.4,1.8,29.52,31.75,30.635
28,1993-09-13,1993,2,CLE,CLE1993,SF1993,23,13,36,39,-3,0,-6.5,0,5.6,-7.4,-2.2,5.2,-12.6,29.37,33.08,31.225,24.4,24.5,31.9,4.8,-2.6,34.5,28.04,30.5,29.27
29,1993-09-19,1993,3,NE,NE1993,SEA1993,14,17,31,32,-1,0,-2.5,-25.8,-14.2,-12.2,7.6,-6,-6.2,26.21,29.92,28.065,-5.4,-7,-8,-5,-2.4,-5.6,26.79,30.6,28.695
30,1993-09-19,1993,3,NO,NO1993,DET1993,14,3,17,41,-24,0,-5,0.2,-17.1,-14.2,-7.8,6.6,-20.8,28.1,30.68,29.39,-2.3,-0.4,-11.7,-4.1,5.3,-17,29.3,32,30.65
31,1993-09-19,1993,3,NYG,NYG1993,LAR1993,20,10,30,37,-7,0,-7,12.8,13.1,11.2,-0.6,0.9,10.3,29.7,32.21,30.955,-22.9,-29.7,2.6,19.7,-5.9,8.5,27.55,31.24,29.395
32,1993-09-19,1993,3,PHI,PHI1993,WAS1993,34,31,65,36,29,1,-5.5,8.6,5.9,6.4,-8.1,-5.8,12.2,28.16,31.3,29.73,-24,-29.2,-10.2,12.3,-1.5,-8.7,26.92,29.88,28.4
33,1993-09-19,1993,3,ARI,ARI1993,DAL1993,10,17,27,38.5,-11.5,0,-6.5,-1.7,6.2,4.2,8.3,2.4,1.8,29.52,31.75,30.635,24.7,28.6,22.3,1.3,3.8,18.5,28.89,31.01,29.95
34,1993-09-19,1993,3,PIT,PIT1993,CIN1993,34,7,41,34,7,1,-8.5,12.4,6.4,-1.2,-16.9,-3.3,2.1,28.14,30.26,29.2,-31.4,-23.2,-14.1,16.8,-0.5,-13.6,27.37,29.95,28.66
35,1993-09-19,1993,3,LAC,LAC1993,TEN1993,18,17,35,38,-3,0,-2.5,17.9,25.9,11.9,-3.5,2.5,9.4,26.34,29.15,27.745,18.9,32.1,-1.4,-18.1,2.2,-3.6,27.57,29.85,28.71
36,1993-09-19,1993,3,SF,SF1993,ATL1993,37,30,67,47,20,1,-13.5,24.4,24.5,31.9,4.8,-2.6,34.5,28.04,30.5,29.27,-8.3,-2,-7.5,7.4,6.6,-14.1,29.4,35.02,32.21
37,1993-09-20,1993,3,KC,KC1993,DEN1993,15,7,22,43,-21,0,-6,20,17.9,12.6,-9.4,-2.1,14.7,28.44,30.28,29.36,13.7,14.5,15,-1.3,-2.6,17.6,27.74,30.2,28.97
38,1993-09-26,1993,4,BUF,BUF1993,MIA1993,13,22,35,39,-4,0,-6,7.8,-2,2,-5.5,0.4,1.6,24.07,24.86,24.465,3,1.7,11.3,8.2,-0.1,11.4,26.47,28.72,27.595
39,1993-09-26,1993,4,CHI,CHI1993,TB1993,47,17,64,33.5,30.5,1,-7,-7.2,-12.6,-14.6,-4.7,2.7,-17.3,29.05,31.74,30.395,-33.7,-19.6,-20.9,11.3,-1.5,-19.4,28.33,31.63,29.98
40,1993-09-26,1993,4,CIN,CIN1993,SEA1993,10,19,29,31.5,-2.5,0,-3,-31.4,-23.2,-14.1,16.8,-0.5,-13.6,27.37,29.95,28.66,-5.4,-7,-8,-5,-2.4,-5.6,26.79,30.6,28.695
41,1993-09-26,1993,4,DET,DET1993,ARI1993,26,20,46,36.5,9.5,1,-5,-2.3,-0.4,-11.7,-4.1,5.3,-17,29.3,32,30.65,-1.7,6.2,4.2,8.3,2.4,1.8,29.52,31.75,30.635
42,1993-09-26,1993,4,TEN,TEN1993,LAR1993,13,28,41,39.5,1.5,1,-10.5,18.9,32.1,-1.4,-18.1,2.2,-3.6,27.57,29.85,28.71,-22.9,-29.7,2.6,19.7,-5.9,8.5,27.55,31.24,29.395
43,1993-09-26,1993,4,MIN,MIN1993,GB1993,15,13,28,36.5,-8.5,0,-3,8.3,13.9,0.2,-16.2,-8.1,8.3,27.91,30.96,29.435,10.8,9.7,-3.4,-9.1,5.2,-8.6,28.47,30.7,29.585
44,1993-09-26,1993,4,NO,NO1993,SF1993,16,13,29,41,-12,0,-1,0.2,-17.1,-14.2,-7.8,6.6,-20.8,28.1,30.68,29.39,24.4,24.5,31.9,4.8,-2.6,34.5,28.04,30.5,29.27
45,1993-09-26,1993,4,NYJ,NYJ1993,NE1993,45,7,52,36.5,15.5,1,-9.5,5.8,-2.4,5.6,-7.3,-7.2,12.8,29.67,32.76,31.215,-25.8,-14.2,-12.2,7.6,-6,-6.2,26.21,29.92,28.065
46,1993-09-27,1993,4,ATL,ATL1993,PIT1993,17,45,62,42.5,19.5,1,-3,-8.3,-2,-7.5,7.4,6.6,-14.1,29.4,35.02,32.21,12.4,6.4,-1.2,-16.9,-3.3,2.1,28.14,30.26,29.2
