index,team,schedule_season,team_year,sec_play_total,sec_play_neutral,sec_play_composite
307,CIN,2012,CIN2012,27.77,28.82,28.295
308,KC,2012,KC2012,27.83,31.57,29.7
309,NYG,2012,NYG2012,27.83,30.79,29.31
310,TB,2012,TB2012,27.95,31.53,29.74
311,ATL,2012,ATL2012,27.97,29.91,28.94
312,CAR,2012,CAR2012,28.4,31.12,29.76
313,HOU,2012,HOU2012,28.75,30.52,29.635
314,BUF,2012,BUF2012,28.75,32.19,30.47
315,WAS,2012,WAS2012,29.24,31.96,30.6
316,PIT,2012,PIT2012,29.34,31.89,30.615
317,CHI,2012,CHI2012,29.55,31.27,30.41
318,LAC,2012,SD2012,29.94,32.79,31.365
319,SF,2012,SF2012,30.18,33.17,31.675
320,SEA,2012,SEA2012,30.55,33,31.775
321,NE,2011,NE2011,24.76,26.43,25.595
322,IND,2011,IND2011,25.78,28.64,27.21
323,LAR,2011,STL2011,26.06,29.11,27.585
324,TEN,2011,TEN2011,26.41,30.53,28.47
325,SEA,2011,SEA2011,26.45,29.34,27.895
326,MIN,2011,MIN2011,26.64,29.86,28.25
327,DET,2011,DET2011,26.67,29.4,28.035
328,NO,2011,NO2011,26.68,28.99,27.835
329,CLE,2011,CLE2011,26.72,30.5,28.61
330,NYG,2011,NYG2011,26.94,30.17,28.555
331,KC,2011,KC2011,27.01,30.09,28.55
332,ARI,2011,ARI2011,27.12,30.52,28.82
333,WAS,2011,WAS2011,27.27,30.18,28.725
334,BAL,2011,BAL2011,27.28,29.26,28.27
335,LV,2011,OAK2011,27.38,31.05,29.215
336,DEN,2011,DEN2011,27.39,30.83,29.11
337,CIN,2011,CIN2011,27.68,30.46,29.07
338,JAX,2011,JAX2011,28.07,30.96,29.515
339,TB,2011,TB2011,28.08,33.5,30.79
340,NYJ,2011,NYJ2011,28.1,31.57,29.835
341,ATL,2011,ATL2011,28.18,31.61,29.895
342,CAR,2011,CAR2011,28.26,31.97,30.115
343,PHI,2011,PHI2011,28.28,30.02,29.15
344,BUF,2011,BUF2011,28.33,31.47,29.9
345,DAL,2011,DAL2011,28.63,31.87,30.25
346,MIA,2011,MIA2011,28.64,30.7,29.67
347,LAC,2011,SD2011,28.78,31.95,30.365
348,GB,2011,GB2011,28.8,29.72,29.26
349,CHI,2011,CHI2011,28.89,31.11,30
350,HOU,2011,HOU2011,29.01,30.94,29.975
351,SF,2011,SF2011,29.56,30.65,30.105
352,PIT,2011,PIT2011,29.95,32.03,30.99
353,IND,2010,IND2010,25.74,28.36,27.05
354,DEN,2010,DEN2010,25.93,28.8,27.365
355,DET,2010,DET2010,26.15,29.57,27.86
356,ARI,2010,ARI2010,26.4,30.17,28.285
357,CAR,2010,CAR2010,26.54,30.83,28.685
358,SEA,2010,SEA2010,26.58,29.71,28.145
359,WAS,2010,WAS2010,26.74,30.19,28.465
360,TEN,2010,TEN2010,26.77,29.94,28.355
